4.45,-258.725824,-70.184381
4.45,-258.725824,-51.8877304
4.45,-258.725824,-33.5910798
4.45,-258.725824,-15.2944292
4.45,-258.725824,3.0022214
4.45,-258.725824,21.298872
4.45,-258.725824,39.5955226
4.45,-258.725824,57.8921732
4.45,-258.725824,76.1888238
4.45,-253.525824,-79.1910452
4.45,-253.525824,-60.8943946
4.45,-253.525824,-42.597744
4.45,-253.525824,-24.3010934
4.45,-253.525824,-6.0044428
4.45,-253.525824,12.2922078
4.45,-253.525824,30.5888584
4.45,-253.525824,48.885509
4.45,-253.525824,67.1821596
4.45,-248.325824,-70.184381
4.45,-248.325824,-51.8877304
4.45,-248.325824,-33.5910798
4.45,-248.325824,-15.2944292
4.45,-248.325824,3.0022214
4.45,-248.325824,21.298872
4.45,-248.325824,39.5955226
4.45,-248.325824,57.8921732
4.45,-248.325824,76.1888238
4.45,-242.8645052,-115.9346282
4.45,-242.8645052,-97.63802823
4.45,-242.8645052,-79.34142823
4.45,-242.8645052,-61.04482823
4.45,-242.8645052,-42.74822823
4.45,-242.8645052,-24.45162823
4.45,-242.8645052,-6.15502823
4.45,-242.8645052,12.14157177
4.45,-242.8645052,30.43817177
4.45,-242.8645052,48.73477177
4.45,-242.8645052,67.03137177
4.45,-242.8645052,85.32797177
4.45,-242.8645052,103.6245718
4.45,-237.6645052,-124.9412924
4.45,-237.6645052,-106.6446924
4.45,-237.6645052,-88.34809243
4.45,-237.6645052,-70.05149243
4.45,-237.6645052,-51.75489243
4.45,-237.6645052,-33.45829243
4.45,-237.6645052,-15.16169243
4.45,-237.6645052,3.13490757
4.45,-237.6645052,21.43150757
4.45,-237.6645052,39.72810757
4.45,-237.6645052,58.02470757
4.45,-237.6645052,76.32130757
4.45,-237.6645052,94.61790757
4.45,-232.4645052,-115.9346282
4.45,-232.4645052,-97.63802823
4.45,-232.4645052,-79.34142823
4.45,-232.4645052,-61.04482823
4.45,-232.4645052,-42.74822823
4.45,-232.4645052,-24.45162823
4.45,-232.4645052,-6.15502823
4.45,-232.4645052,12.14157177
4.45,-232.4645052,30.43817177
