## take reference from DESI's, modified for JUST
# Echo 22 focal plane parameters calculated from model in DESI-4037v6.							
# The plate scale varies with radius, and is different in the							
# meridional (radial) direction vs. the							
# sagittal (tangential/azimuthal) direction.  The table below							
# contains the F/#, Focal Length, and Plate Scale vs. radius for							
# both the meridional and sagittal orientations at that radius.							
							
# Columns:							
# - Radius : radius from center of focal plane [mm]							
# - Theta radial angle that has a centroid at this radius [deg]							
# - MF/# : Meridional F/#							
# - SF/# : Sagittal F/#							
# - MFL  : Meridional focal length [m]							
# - SFL  : Sagittal focal length [m]							
# - MPS  : Meridional plate scale [um/arcsec]							
# - SPS  : Sagittal plate scale [um/arcsec]							
# Radius	Theta	MF/#	SF/#	MFL	SFL	MPS	SPS
24.842464483    0.053845256    5.507556842    5.507177020    26.436272843    26.434449694    128.166547128    128.157708258
25.798293693    0.055916541    5.507617093    5.507220737    26.436562048    26.434659536    128.167949230    128.158725600
26.754162515    0.057987857    5.507679538    5.507266690    26.436861783    26.434880112    128.169402386    128.159794984
27.710072410    0.060059202    5.507744179    5.507314881    26.437172059    26.435111430    128.170906645    128.160916441
28.666024850    0.062130578    5.507811018    5.507365311    26.437492887    26.435353494    128.172462059    128.162090001
29.622021305    0.064201985    5.507880058    5.507417982    26.437824276    26.435606312    128.174068681    128.163315696
30.578063235    0.066273424    5.507951300    5.507472894    26.438166239    26.435869890    128.175726562    128.164593556
31.534152118    0.068344896    5.508024747    5.507530049    26.438518786    26.436144234    128.177435755    128.165923614
32.490289418    0.070416401    5.508100402    5.507589448    26.438881927    26.436429352    128.179196312    128.167305901
33.446476605    0.072487940    5.508178266    5.507651094    26.439255675    26.436725249    128.181008288    128.168740450
34.402715150    0.074559513    5.508258341    5.507714986    26.439640038    26.437031932    128.182871735    128.170227292
35.359006523    0.076631122    5.508340631    5.507781127    26.440035030    26.437349409    128.184786707    128.171766461
36.315352193    0.078702766    5.508425138    5.507849518    26.440440661    26.437677686    128.186753259    128.173357991
37.271753628    0.080774447    5.508511863    5.507920160    26.440856942    26.438016770    128.188771444    128.175001914
38.228212293    0.082846165    5.508600809    5.507993056    26.441283885    26.438366668    128.190841318    128.176698265
39.184729665    0.084917920    5.508691979    5.508068205    26.441721500    26.438727386    128.192962936    128.178447077
40.141307218    0.086989714    5.508785375    5.508145611    26.442169800    26.439098933    128.195136354    128.180248386
41.097946413    0.089061546    5.508880999    5.508225274    26.442628796    26.439481316    128.197361626    128.182102226
42.054648725    0.091133418    5.508978854    5.508307196    26.443098499    26.439874541    128.199638810    128.184008632
43.011415625    0.093205330    5.509078942    5.508391378    26.443578922    26.440278615    128.201967961    128.185967641
43.968248585    0.095277283    5.509181266    5.508477822    26.444070075    26.440693548    128.204349138    128.187979287
44.925149078    0.097349277    5.509285827    5.508566530    26.444571971    26.441119345    128.206782396    128.190043607
45.882118568    0.099421313    5.509392629    5.508657503    26.445084621    26.441556014    128.209267793    128.192160638
46.839158533    0.101493392    5.509501675    5.508750742    26.445608038    26.442003563    128.211805387    128.194330416
47.796270445    0.103565513    5.509612965    5.508846250    26.446142234    26.442462000    128.214395237    128.196552979
48.753455778    0.105637678    5.509726504    5.508944028    26.446687219    26.442931332    128.217037401    128.198828364
49.710715993    0.107709888    5.509842293    5.509044077    26.447243008    26.443411568    128.219731937    128.201156609
50.668052578    0.109782142    5.509960336    5.509146399    26.447809611    26.443902714    128.222478905    128.203537752
